,Incident Zip,Latitude,Longitude,Unique
0,10000,40.78229519,-73.96512584,3
1,10001,40.74758448,-73.98939307,538
2,10002,40.72132255,-73.98802996,1716
3,10003,40.73071477,-73.98517787,839
4,10004,40.70617977,-74.01124957,60
5,10005,40.70655025,-74.01187361,45
6,10006,40.70748608,-74.01316142,126
7,10007,40.70980572,-74.00998773,326
8,10009,40.72982999,-73.97894693,1495
9,10010,40.73907177,-73.98002658,426
10,10011,40.74182636,-74.00531925,820
11,10012,40.72342564,-74.00176417,692
12,10013,40.71944559,-74.00613636,847
13,10014,40.73479986,-74.00373824,781
14,10016,40.74167381,-73.98013406,540
15,10017,40.75039763,-73.97179425,106
16,10018,40.75214316,-73.98608624,197
17,10019,40.76105248,-73.98514946,559
18,10020,40.75821918,-73.98030961,2
19,10021,40.77044036,-73.95617497,422
20,10022,40.75876353,-73.96194002,442
21,10023,40.77525842,-73.9796619,1135
22,10024,40.78982991,-73.97798179,1795
23,10025,40.79868077,-73.96361474,3343
24,10026,40.80353348,-73.94918913,1725
25,10027,40.80775761,-73.94920035,1942
26,10028,40.77619625,-73.94987433,835
27,10029,40.79263779,-73.9512307,1554
28,10030,40.82099276,-73.94352144,1125
29,10031,40.83068342,-73.94735801,1959
30,10032,40.83320462,-73.94480477,1367
31,10033,40.85072354,-73.93336078,1212
32,10034,40.86208318,-73.92341833,1012
33,10035,40.79953703,-73.94304843,1072
34,100354,,,1
35,10036,40.76082287,-73.99831425,623
36,10037,40.81851125,-73.93764539,536
37,10038,40.70899907,-74.00539598,430
38,10039,40.82481747,-73.94068181,421
39,10040,40.85742628,-73.929045,774
40,10041,40.70348187,-74.00888316,1
41,10044,40.7644806,-73.94739951,10
42,10048,40.71273953,-74.01338249,1
43,10065,40.76897231,-73.96536748,332
44,10069,40.77726883,-73.98891534,35
45,10075,40.77600267,-73.9602332,378
46,10111,40.75938532,-73.97820122,1
47,10112,40.75873507,-73.97959836,2
48,10118,40.74824829,-73.98553487,1
49,10119,40.76085678,-73.97971683,1
50,10120,40.75003819,-73.98839294,1
51,10121,40.75002753,-73.99211038,1
52,10128,40.77800694,-73.94798098,1434
53,10151,40.76332583,-73.9736948,1
54,10162,40.76997449,-73.95118592,13
55,10174,40.75164182,-73.9753741,1
56,10271,40.7080216,-74.0102147,1
57,10280,40.70715066,-74.0173489,30
58,10282,40.71621967,-74.01507503,19
59,10301,40.63916685,-74.10024726,586
60,10302,40.63218025,-74.1360521,396
61,10303,40.62697046,-74.15565715,481
62,10304,40.61625111,-74.08604285,568
63,10305,40.59292888,-74.06463202,539
64,10306,40.57381239,-74.10427076,876
65,10307,40.51253044,-74.23373715,146
66,10308,40.56569728,-74.15019475,346
67,10309,40.52240802,-74.21460031,315
68,10310,40.62700968,-74.12587167,518
69,10312,40.55465783,-74.18056382,731
70,10314,40.61561351,-74.14436753,1007
71,10451,40.8137505,-73.93038488,1048
72,10452,40.84072291,-73.92611734,1511
73,10453,40.85813674,-73.90549595,1724
74,10454,40.80791441,-73.91675094,753
75,10455,40.8182291,-73.91678862,1115
76,10456,40.83924842,-73.91344828,2294
77,10457,40.84116257,-73.91125926,2096
78,10458,40.87617676,-73.88352112,2042
79,10459,40.82921412,-73.89718271,1368
80,10460,40.85032653,-73.88288323,1332
81,10461,40.85672674,-73.84120237,505
82,10462,40.83361421,-73.86085102,1353
83,10463,40.87945399,-73.90125279,1104
84,10464,40.84196429,-73.78450981,61
85,10465,40.84000166,-73.82314676,426
86,10466,40.89614863,-73.85791686,758
87,10467,40.88035724,-73.86375105,2392
88,10468,40.87192512,-73.90105064,1595
89,10469,40.8706931,-73.83432447,939
90,10470,40.90441156,-73.85249096,290
91,10471,40.90676026,-73.90056465,203
92,10472,40.83077912,-73.86802622,1380
93,10473,40.8183106,-73.85936561,497
94,10474,40.81737233,-73.88722241,455
95,10475,40.87973073,-73.83197311,87
96,11001,40.73476306,-73.71285552,57
97,11004,40.7363632,-73.71283058,33
98,11040,40.75229099,-73.70199176,10
99,11101,40.74624815,-73.94942409,799
100,11102,40.76960001,-73.9325033,209
101,11103,40.76026118,-73.91794034,547
102,11104,40.74732144,-73.92451025,306
103,11105,40.78405127,-73.91242951,248
104,11106,40.75905476,-73.93258979,429
105,11109,40.74723911,-73.9563779,15
106,11201,40.68996013,-73.98230941,925
107,11202,,,1
108,11203,40.65941518,-73.93898351,1380
